8.200e-01	mua, coeficiente de absorcion [1/cm]
13.4000	mus, coeficiente de esparcimiento [1/cm]
0.9100	g, anisotropia [-]
1.5500	n1, indice de refracción del tejido
1.4800	n2, indice de refracción del medio externo
0	Fuente
8.0000	radius, radio del haz plano o radio 1/e del haz Gaussiano [cm]
0.1000	waist, ancho de 1/e del foco [cm]
0.0000	xs, posicion en x de la fuente isotropica [cm]
0.0000	ys, posicion y
0.0000	zs, posicion z
80	NR
80	NZ
0.10000	dr
0.10000	dz
7.8e+05	Nfotones
5.337167e-04	Specular reflectance
8.977186e-01	Absorbed fraction
1.017474e-01	Escaping fraction
0.0	0.06667	0.15556	0.25333	0.35238	0.45185	0.55152	0.65128	0.75111	0.85098	0.95088	1.05079	1.15072	1.25067	1.35062	1.45057	1.55054	1.65051	1.75048	1.85045	1.95043	2.05041	2.15039	2.25037	2.35035	2.45034	2.55033	2.65031	2.75030	2.85029	2.95028	3.05027	3.15026	3.25026	3.35025	3.45024	3.55023	3.65023	3.75022	3.85022	3.95021	4.05021	4.15020	4.25020	4.35019	4.45019	4.55018	4.65018	4.75018	4.85017	4.95017	5.05017	5.15016	5.25016	5.35016	5.45015	5.55015	5.65015	5.75014	5.85014	5.95014	6.05014	6.15014	6.25013	6.35013	6.45013	6.55013	6.65013	6.75012	6.85012	6.95012	7.05012	7.15012	7.25011	7.35011	7.45011	7.55011	7.65011	7.75011	7.85011	7.95010
0.0	5.352342143924e-04	5.042560852434e-04	5.485256804796e-04	4.884594276255e-04	4.950414805961e-04	5.493744224571e-04	4.821730113369e-04	5.373137023156e-04	5.286507523631e-04	5.222409945610e-04	4.925310063493e-04	4.901471321604e-04	4.902481183077e-04	5.135385768941e-04	5.256475056334e-04	5.038087726607e-04	5.061316267987e-04	4.988747089175e-04	5.124167564328e-04	5.056657537756e-04	4.841672005517e-04	4.810428501916e-04	5.190746714308e-04	5.321577922613e-04	5.080559253102e-04	5.081255273473e-04	5.077308814451e-04	4.980295713773e-04	5.045812839312e-04	5.324816033165e-04	4.931036520679e-04	5.052582145400e-04	4.969877593018e-04	4.802708728196e-04	4.953849154623e-04	4.998031476953e-04	4.998762564497e-04	5.200277628166e-04	5.004715907544e-04	5.150832814053e-04	5.178732004389e-04	5.079579116523e-04	5.177350000452e-04	5.153215227338e-04	5.152750127607e-04	5.028799680781e-04	5.173117487275e-04	4.983985570253e-04	5.197949389888e-04	5.246738980649e-04	5.135770640369e-04	5.001995144650e-04	5.020692560443e-04	5.113296230492e-04	4.925518404322e-04	4.978178790131e-04	5.011019640335e-04	4.980100865801e-04	5.071174314880e-04	5.225779429826e-04	5.027869058591e-04	4.876547784322e-04	5.054904212998e-04	5.094759563236e-04	5.063793903676e-04	4.985678024130e-04	5.033662916111e-04	4.940974150389e-04	4.858979927689e-04	4.775206550441e-04	4.853761222433e-04	4.648557295018e-04	4.742075815438e-04	4.652487553228e-04	4.232123799611e-04	4.293546680626e-04	4.042806735699e-04	3.810410729317e-04	3.461675967286e-04	1.205177468603e-03
0.05000	 5.575874e-03	 6.888629e-03	 6.459650e-03	 6.856717e-03	 6.834033e-03	 6.366966e-03	 6.529604e-03	 6.737036e-03	 6.822572e-03	 6.770698e-03	 6.616331e-03	 6.500896e-03	 6.673593e-03	 6.833899e-03	 6.725356e-03	 6.805703e-03	 6.925245e-03	 6.591741e-03	 6.685303e-03	 6.601852e-03	 6.614850e-03	 6.546345e-03	 6.569964e-03	 6.616896e-03	 6.602871e-03	 6.700216e-03	 6.670513e-03	 6.627902e-03	 6.553965e-03	 6.559984e-03	 6.728607e-03	 6.741993e-03	 6.568947e-03	 6.668110e-03	 6.719196e-03	 6.668226e-03	 6.699253e-03	 6.672653e-03	 6.714872e-03	 6.697267e-03	 6.575749e-03	 6.620204e-03	 6.647059e-03	 6.579326e-03	 6.653310e-03	 6.586344e-03	 6.678986e-03	 6.733781e-03	 6.805060e-03	 6.711933e-03	 6.642580e-03	 6.595301e-03	 6.684640e-03	 6.497106e-03	 6.614368e-03	 6.559324e-03	 6.722802e-03	 6.629759e-03	 6.641686e-03	 6.643065e-03	 6.652475e-03	 6.499706e-03	 6.578784e-03	 6.614865e-03	 6.636451e-03	 6.628215e-03	 6.636339e-03	 6.580508e-03	 6.544467e-03	 6.482891e-03	 6.568106e-03	 6.581931e-03	 6.447986e-03	 6.451686e-03	 6.412584e-03	 6.335238e-03	 6.348193e-03	 6.193877e-03	 6.018658e-03	 8.956138e-03
0.15000	 5.680118e-03	 6.312391e-03	 6.786014e-03	 6.299905e-03	 6.693444e-03	 6.263568e-03	 6.495083e-03	 6.548820e-03	 6.480199e-03	 6.872563e-03	 6.559163e-03	 6.503733e-03	 6.658031e-03	 6.427997e-03	 6.672648e-03	 6.726098e-03	 6.635008e-03	 6.268562e-03	 6.364257e-03	 6.630408e-03	 6.569962e-03	 6.471630e-03	 6.441551e-03	 6.459349e-03	 6.559272e-03	 6.580525e-03	 6.678086e-03	 6.512413e-03	 6.310522e-03	 6.545057e-03	 6.507466e-03	 6.503173e-03	 6.499546e-03	 6.376726e-03	 6.549780e-03	 6.502392e-03	 6.596311e-03	 6.507760e-03	 6.498328e-03	 6.525973e-03	 6.520734e-03	 6.598673e-03	 6.466088e-03	 6.402209e-03	 6.486966e-03	 6.566514e-03	 6.457617e-03	 6.539148e-03	 6.534390e-03	 6.537185e-03	 6.572554e-03	 6.500463e-03	 6.483911e-03	 6.463827e-03	 6.470406e-03	 6.475534e-03	 6.506454e-03	 6.540261e-03	 6.550088e-03	 6.595087e-03	 6.419357e-03	 6.420013e-03	 6.445703e-03	 6.446806e-03	 6.515274e-03	 6.431225e-03	 6.504504e-03	 6.445480e-03	 6.457016e-03	 6.436206e-03	 6.404623e-03	 6.418385e-03	 6.301233e-03	 6.286322e-03	 6.216540e-03	 6.190253e-03	 6.172992e-03	 6.012554e-03	 5.795236e-03	 9.317212e-03
0.25000	 5.743123e-03	 5.980332e-03	 6.282326e-03	 5.736160e-03	 6.046810e-03	 6.097692e-03	 6.093566e-03	 6.170181e-03	 6.081373e-03	 6.121380e-03	 6.141721e-03	 6.221979e-03	 5.972054e-03	 6.226680e-03	 6.175865e-03	 6.290464e-03	 6.193050e-03	 6.037666e-03	 6.091538e-03	 6.216792e-03	 6.017869e-03	 6.075630e-03	 6.044649e-03	 6.105600e-03	 6.171589e-03	 6.149550e-03	 6.164126e-03	 6.051707e-03	 6.064943e-03	 6.032648e-03	 6.009291e-03	 6.094084e-03	 6.090521e-03	 5.998971e-03	 6.130381e-03	 6.245902e-03	 6.168901e-03	 6.175821e-03	 6.057733e-03	 6.119368e-03	 6.186274e-03	 6.218504e-03	 6.051906e-03	 6.118412e-03	 6.192537e-03	 6.105195e-03	 6.130338e-03	 6.067412e-03	 6.014359e-03	 6.121099e-03	 6.144399e-03	 6.083817e-03	 6.144995e-03	 6.100999e-03	 6.009295e-03	 6.066755e-03	 6.167150e-03	 6.100551e-03	 6.159197e-03	 6.041774e-03	 6.068609e-03	 6.029951e-03	 6.027687e-03	 6.074883e-03	 6.060697e-03	 6.077107e-03	 6.046007e-03	 6.020881e-03	 6.032233e-03	 6.088702e-03	 6.063076e-03	 5.946516e-03	 5.921656e-03	 5.797220e-03	 5.797643e-03	 5.719669e-03	 5.646453e-03	 5.536594e-03	 5.196908e-03	 9.455204e-03
0.35000	 5.591649e-03	 5.513353e-03	 5.857104e-03	 5.297929e-03	 5.541522e-03	 5.743815e-03	 5.722741e-03	 5.731551e-03	 5.537263e-03	 5.719866e-03	 5.598787e-03	 5.556707e-03	 5.465958e-03	 5.655882e-03	 5.607663e-03	 5.597874e-03	 5.570411e-03	 5.615806e-03	 5.502455e-03	 5.696218e-03	 5.496197e-03	 5.498364e-03	 5.571227e-03	 5.435007e-03	 5.536556e-03	 5.367314e-03	 5.564160e-03	 5.585639e-03	 5.453717e-03	 5.453279e-03	 5.356455e-03	 5.584840e-03	 5.570886e-03	 5.520147e-03	 5.645971e-03	 5.654261e-03	 5.547280e-03	 5.587134e-03	 5.564088e-03	 5.535328e-03	 5.513197e-03	 5.536516e-03	 5.487373e-03	 5.447955e-03	 5.523604e-03	 5.555659e-03	 5.546833e-03	 5.492061e-03	 5.591070e-03	 5.532609e-03	 5.556521e-03	 5.422175e-03	 5.460688e-03	 5.481387e-03	 5.476450e-03	 5.555454e-03	 5.519218e-03	 5.497794e-03	 5.437121e-03	 5.479462e-03	 5.454320e-03	 5.464721e-03	 5.433700e-03	 5.492271e-03	 5.404178e-03	 5.498644e-03	 5.517018e-03	 5.462982e-03	 5.467678e-03	 5.429509e-03	 5.442901e-03	 5.318356e-03	 5.265041e-03	 5.235829e-03	 5.160884e-03	 5.067714e-03	 4.935170e-03	 4.808793e-03	 4.435447e-03	 9.181262e-03
0.45000	 4.797705e-03	 4.829877e-03	 4.559244e-03	 4.819177e-03	 5.024832e-03	 5.065275e-03	 5.060142e-03	 5.126572e-03	 4.764936e-03	 4.983335e-03	 4.986586e-03	 4.935669e-03	 4.787237e-03	 4.765724e-03	 5.066084e-03	 5.034739e-03	 4.923565e-03	 4.873232e-03	 4.905936e-03	 5.022128e-03	 4.853793e-03	 4.870688e-03	 4.830241e-03	 4.716687e-03	 4.813910e-03	 4.772935e-03	 4.825251e-03	 4.958194e-03	 4.766462e-03	 4.833545e-03	 4.847568e-03	 4.849534e-03	 4.812675e-03	 4.836159e-03	 4.862943e-03	 4.918344e-03	 4.875992e-03	 4.951104e-03	 4.830787e-03	 4.897750e-03	 4.886565e-03	 4.794424e-03	 4.767817e-03	 4.753630e-03	 4.833742e-03	 4.845364e-03	 4.847980e-03	 4.932519e-03	 4.832396e-03	 4.894451e-03	 4.881672e-03	 4.827254e-03	 4.768998e-03	 4.799465e-03	 4.865443e-03	 4.849685e-03	 4.816146e-03	 4.821079e-03	 4.838085e-03	 4.788771e-03	 4.823256e-03	 4.844483e-03	 4.829944e-03	 4.913341e-03	 4.746596e-03	 4.772926e-03	 4.868379e-03	 4.751173e-03	 4.780966e-03	 4.767801e-03	 4.762923e-03	 4.765119e-03	 4.679509e-03	 4.578774e-03	 4.478037e-03	 4.390075e-03	 4.279917e-03	 4.076703e-03	 3.715646e-03	 8.933879e-03
0.55000	 3.690188e-03	 3.905143e-03	 4.146933e-03	 3.951637e-03	 4.278430e-03	 4.154195e-03	 4.204830e-03	 4.307958e-03	 4.208550e-03	 4.155104e-03	 4.217613e-03	 4.159071e-03	 4.100367e-03	 4.156336e-03	 4.283552e-03	 4.239994e-03	 4.201197e-03	 4.306854e-03	 4.194569e-03	 4.238078e-03	 4.301258e-03	 4.142572e-03	 4.216917e-03	 4.099614e-03	 4.213051e-03	 4.262323e-03	 4.211342e-03	 4.190846e-03	 4.225436e-03	 4.282651e-03	 4.112285e-03	 4.198361e-03	 4.154242e-03	 4.198424e-03	 4.216267e-03	 4.222134e-03	 4.072223e-03	 4.295600e-03	 4.167726e-03	 4.184984e-03	 4.135153e-03	 4.060057e-03	 4.156467e-03	 4.179855e-03	 4.169815e-03	 4.174123e-03	 4.210768e-03	 4.200427e-03	 4.220383e-03	 4.266136e-03	 4.203564e-03	 4.174664e-03	 4.156997e-03	 4.190160e-03	 4.176446e-03	 4.178336e-03	 4.174650e-03	 4.143420e-03	 4.139369e-03	 4.128744e-03	 4.126270e-03	 4.131754e-03	 4.152186e-03	 4.140779e-03	 4.085308e-03	 4.080528e-03	 4.136721e-03	 4.146804e-03	 4.081461e-03	 4.064200e-03	 4.014841e-03	 3.973240e-03	 4.001252e-03	 3.938832e-03	 3.827397e-03	 3.708177e-03	 3.619892e-03	 3.357353e-03	 3.049945e-03	 8.433618e-03
0.65000	 3.377640e-03	 3.429661e-03	 3.595525e-03	 3.417893e-03	 3.557526e-03	 3.531916e-03	 3.660364e-03	 3.764783e-03	 3.705749e-03	 3.466328e-03	 3.615268e-03	 3.566804e-03	 3.453421e-03	 3.582877e-03	 3.563634e-03	 3.520843e-03	 3.610064e-03	 3.629040e-03	 3.610983e-03	 3.580368e-03	 3.643245e-03	 3.669750e-03	 3.584884e-03	 3.604388e-03	 3.472434e-03	 3.524183e-03	 3.470594e-03	 3.497699e-03	 3.484256e-03	 3.570432e-03	 3.560388e-03	 3.580809e-03	 3.552881e-03	 3.558140e-03	 3.564261e-03	 3.555971e-03	 3.505112e-03	 3.642498e-03	 3.572542e-03	 3.612134e-03	 3.496073e-03	 3.500557e-03	 3.559059e-03	 3.563103e-03	 3.516459e-03	 3.631599e-03	 3.627871e-03	 3.547800e-03	 3.547426e-03	 3.615917e-03	 3.583935e-03	 3.577707e-03	 3.505689e-03	 3.558317e-03	 3.497478e-03	 3.522387e-03	 3.525240e-03	 3.583069e-03	 3.558273e-03	 3.495744e-03	 3.594262e-03	 3.518323e-03	 3.568956e-03	 3.497039e-03	 3.517508e-03	 3.499139e-03	 3.480838e-03	 3.519486e-03	 3.492649e-03	 3.467588e-03	 3.382988e-03	 3.372528e-03	 3.358478e-03	 3.280923e-03	 3.220718e-03	 3.119572e-03	 3.013211e-03	 2.746740e-03	 2.460455e-03	 7.691368e-03
0.75000	 3.267566e-03	 2.876594e-03	 3.006502e-03	 3.083954e-03	 3.163256e-03	 3.168267e-03	 2.975043e-03	 3.009413e-03	 3.051339e-03	 3.105576e-03	 3.080536e-03	 2.975550e-03	 3.013060e-03	 3.070903e-03	 3.095057e-03	 3.010046e-03	 3.086473e-03	 3.057733e-03	 2.972658e-03	 3.051006e-03	 3.027436e-03	 3.056529e-03	 2.982472e-03	 2.891378e-03	 2.939943e-03	 3.003833e-03	 2.970167e-03	 2.964960e-03	 2.976080e-03	 3.035225e-03	 2.925135e-03	 2.968209e-03	 3.007736e-03	 3.042923e-03	 2.999686e-03	 2.950691e-03	 2.999630e-03	 2.959616e-03	 3.043065e-03	 3.057312e-03	 2.982707e-03	 3.035112e-03	 2.958606e-03	 2.995946e-03	 2.976645e-03	 3.017122e-03	 3.042183e-03	 3.011614e-03	 3.043462e-03	 2.997236e-03	 3.038918e-03	 2.973686e-03	 3.031264e-03	 2.962917e-03	 2.955537e-03	 2.979281e-03	 2.906087e-03	 3.043284e-03	 2.984761e-03	 2.958590e-03	 2.965524e-03	 2.982746e-03	 2.971692e-03	 2.998349e-03	 2.957034e-03	 2.904169e-03	 2.938190e-03	 2.978580e-03	 2.913185e-03	 2.916125e-03	 2.866799e-03	 2.809818e-03	 2.807356e-03	 2.755030e-03	 2.631017e-03	 2.544569e-03	 2.453040e-03	 2.266858e-03	 1.978871e-03	 6.940925e-03
