5.000e-01	mua, coeficiente de absorcion [1/cm]
20.0000	mus, coeficiente de esparcimiento [1/cm]
0.7500	g, anisotropia [-]
1.3800	n1, indice de refracción del tejido
1.3300	n2, indice de refracción del medio externo
0	Fuente
0.1000	radius, radio del haz plano o radio 1/e del haz Gaussiano [cm]
0.0000	waist, ancho de 1/e del foco [cm]
0.0000	xs, posicion en x de la fuente isotropica [cm]
0.0000	ys, posicion y
0.0000	zs, posicion z
45	NR
45	NZ
0.05000	dr
0.05000	dz
1.0e+06	Nfotones
3.404093e-04	Specular reflectance
6.059409e-01	Absorbed fraction
3.937185e-01	Escaping fraction
0.0	0.03333	0.07778	0.12667	0.17619	0.22593	0.27576	0.32564	0.37556	0.42549	0.47544	0.52540	0.57536	0.62533	0.67531	0.72529	0.77527	0.82525	0.87524	0.92523	0.97521	1.02520	1.07519	1.12519	1.17518	1.22517	1.27516	1.32516	1.37515	1.42515	1.47514	1.52514	1.57513	1.62513	1.67512	1.72512	1.77512	1.82511	1.87511	1.92511	1.97511	2.02510	2.07510	2.12510	2.17510	2.22509
0.0	2.837271037129e+00	2.336953811824e+00	1.224698191435e+00	7.446462679198e-01	5.073583945696e-01	3.563517546198e-01	2.539067486792e-01	1.874123494076e-01	1.385077967625e-01	1.042573788328e-01	7.930216643965e-02	5.987584521932e-02	4.613443337909e-02	3.523727853215e-02	2.704886636659e-02	2.138624251760e-02	1.671028283420e-02	1.333799756992e-02	1.048201585202e-02	8.206160063923e-03	6.493859271241e-03	5.243889468917e-03	4.217972809725e-03	3.317935578346e-03	2.758771703886e-03	2.175204127124e-03	1.835790019333e-03	1.416233119117e-03	1.155141903678e-03	9.638361319446e-04	7.739716582300e-04	6.126961778441e-04	4.984318405261e-04	4.290723615234e-04	3.642935206625e-04	3.025196522307e-04	2.311915433680e-04	1.845981820279e-04	1.711218414483e-04	1.448408298898e-04	1.078352614220e-04	9.276931524317e-05	7.702311716961e-05	6.004524095654e-05	3.668664824123e-04
0.02500	 4.109754e+01	 3.808238e+01	 4.782315e+00	 2.420974e+00	 1.576070e+00	 1.080651e+00	 7.736540e-01	 5.614553e-01	 4.143085e-01	 3.096562e-01	 2.327025e-01	 1.751521e-01	 1.348120e-01	 1.017132e-01	 7.716126e-02	 6.070011e-02	 4.740801e-02	 3.740690e-02	 2.965569e-02	 2.308010e-02	 1.842001e-02	 1.460761e-02	 1.165610e-02	 9.569928e-03	 7.624663e-03	 6.129454e-03	 4.963026e-03	 3.967646e-03	 3.111510e-03	 2.588432e-03	 2.078853e-03	 1.701874e-03	 1.390852e-03	 1.181282e-03	 9.908842e-04	 7.812549e-04	 6.467974e-04	 5.253281e-04	 4.564934e-04	 3.679838e-04	 3.129321e-04	 2.695901e-04	 2.199904e-04	 1.776680e-04	 1.009724e-03
0.07500	 3.714096e+01	 3.171476e+01	 7.584138e+00	 3.318634e+00	 2.037196e+00	 1.373523e+00	 9.686544e-01	 6.993449e-01	 5.118362e-01	 3.824459e-01	 2.849137e-01	 2.171886e-01	 1.663962e-01	 1.269146e-01	 9.887071e-02	 7.547396e-02	 5.995758e-02	 4.749835e-02	 3.751882e-02	 2.961454e-02	 2.339254e-02	 1.890697e-02	 1.517141e-02	 1.214124e-02	 9.580923e-03	 7.730682e-03	 6.101352e-03	 5.126500e-03	 4.090158e-03	 3.252117e-03	 2.656161e-03	 2.167021e-03	 1.811298e-03	 1.504776e-03	 1.238605e-03	 1.022910e-03	 8.254074e-04	 6.795394e-04	 5.496247e-04	 4.594832e-04	 3.875561e-04	 3.211182e-04	 2.781492e-04	 2.426964e-04	 1.286583e-03
0.12500	 2.853252e+01	 2.311125e+01	 8.414011e+00	 3.982212e+00	 2.399911e+00	 1.594785e+00	 1.125481e+00	 8.066156e-01	 5.947771e-01	 4.401370e-01	 3.295493e-01	 2.509044e-01	 1.950848e-01	 1.494156e-01	 1.157935e-01	 8.996699e-02	 6.984047e-02	 5.499698e-02	 4.385317e-02	 3.508529e-02	 2.759665e-02	 2.233056e-02	 1.783629e-02	 1.421559e-02	 1.170029e-02	 9.330370e-03	 7.471939e-03	 6.004607e-03	 4.876363e-03	 3.982508e-03	 3.290097e-03	 2.661747e-03	 2.188191e-03	 1.756683e-03	 1.500718e-03	 1.190083e-03	 1.009778e-03	 8.348148e-04	 7.018274e-04	 5.861144e-04	 4.666800e-04	 4.025325e-04	 3.506075e-04	 2.839401e-04	 1.537413e-03
0.17500	 1.979632e+01	 1.593336e+01	 7.692223e+00	 4.107869e+00	 2.549527e+00	 1.709213e+00	 1.203242e+00	 8.740291e-01	 6.375529e-01	 4.810374e-01	 3.626936e-01	 2.756048e-01	 2.120125e-01	 1.640049e-01	 1.277278e-01	 1.006823e-01	 7.875160e-02	 6.240092e-02	 4.958668e-02	 3.974464e-02	 3.138705e-02	 2.503634e-02	 2.023695e-02	 1.645509e-02	 1.301727e-02	 1.085338e-02	 8.641801e-03	 6.956003e-03	 5.652034e-03	 4.614561e-03	 3.687019e-03	 3.134073e-03	 2.625913e-03	 2.153677e-03	 1.707974e-03	 1.476586e-03	 1.205940e-03	 9.750400e-04	 8.118537e-04	 6.826958e-04	 5.319519e-04	 4.564652e-04	 3.899665e-04	 3.065845e-04	 1.808633e-03
0.22500	 1.314931e+01	 1.079794e+01	 6.282265e+00	 3.795280e+00	 2.477654e+00	 1.705348e+00	 1.218759e+00	 8.865586e-01	 6.582993e-01	 4.981772e-01	 3.809628e-01	 2.909378e-01	 2.260609e-01	 1.740636e-01	 1.368403e-01	 1.080499e-01	 8.434502e-02	 6.770843e-02	 5.341825e-02	 4.296744e-02	 3.458473e-02	 2.748113e-02	 2.229078e-02	 1.806621e-02	 1.446848e-02	 1.161617e-02	 9.496718e-03	 7.787678e-03	 6.356159e-03	 5.234149e-03	 4.207035e-03	 3.579103e-03	 2.881215e-03	 2.376718e-03	 1.946003e-03	 1.646021e-03	 1.299690e-03	 1.105704e-03	 9.032165e-04	 7.472631e-04	 6.200916e-04	 5.067360e-04	 4.340134e-04	 3.694016e-04	 2.040770e-03
0.27500	 8.777175e+00	 7.322534e+00	 4.922473e+00	 3.263201e+00	 2.258669e+00	 1.617406e+00	 1.176649e+00	 8.748892e-01	 6.524130e-01	 4.992770e-01	 3.845865e-01	 2.975163e-01	 2.325011e-01	 1.820005e-01	 1.427184e-01	 1.126804e-01	 8.920801e-02	 7.166003e-02	 5.665931e-02	 4.552908e-02	 3.626185e-02	 2.935247e-02	 2.390394e-02	 1.898740e-02	 1.533157e-02	 1.241466e-02	 9.895407e-03	 8.328976e-03	 6.773033e-03	 5.647271e-03	 4.596252e-03	 3.738121e-03	 3.057555e-03	 2.560552e-03	 2.164479e-03	 1.766204e-03	 1.420225e-03	 1.140675e-03	 1.031504e-03	 8.381934e-04	 6.873796e-04	 5.723857e-04	 4.824933e-04	 3.945985e-04	 2.219792e-03
0.32500	 5.786646e+00	 5.008107e+00	 3.729091e+00	 2.704071e+00	 1.972872e+00	 1.459310e+00	 1.093773e+00	 8.245643e-01	 6.296887e-01	 4.850523e-01	 3.781084e-01	 2.935235e-01	 2.294812e-01	 1.813644e-01	 1.432086e-01	 1.149583e-01	 9.145006e-02	 7.274498e-02	 5.805287e-02	 4.647327e-02	 3.764951e-02	 3.002924e-02	 2.447942e-02	 1.976796e-02	 1.627563e-02	 1.326430e-02	 1.065162e-02	 8.796223e-03	 7.147358e-03	 5.955829e-03	 4.944500e-03	 3.994938e-03	 3.255423e-03	 2.740703e-03	 2.238961e-03	 1.877230e-03	 1.591887e-03	 1.307209e-03	 1.083649e-03	 9.148803e-04	 7.288874e-04	 6.032758e-04	 5.178148e-04	 4.236148e-04	 2.430724e-03
0.37500	 3.917116e+00	 3.543382e+00	 2.786046e+00	 2.165916e+00	 1.660581e+00	 1.268353e+00	 9.760378e-01	 7.507155e-01	 5.861428e-01	 4.619688e-01	 3.600288e-01	 2.826909e-01	 2.225426e-01	 1.785812e-01	 1.417372e-01	 1.130789e-01	 9.211274e-02	 7.230194e-02	 5.904527e-02	 4.765682e-02	 3.864117e-02	 3.151641e-02	 2.501152e-02	 2.063592e-02	 1.676879e-02	 1.384591e-02	 1.110527e-02	 9.174811e-03	 7.560469e-03	 6.394498e-03	 5.171110e-03	 4.222162e-03	 3.561314e-03	 3.006938e-03	 2.348246e-03	 1.956754e-03	 1.644134e-03	 1.400006e-03	 1.147357e-03	 9.796479e-04	 8.016714e-04	 6.433119e-04	 5.552581e-04	 4.388683e-04	 2.631172e-03
